Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Heat_Type_Desc,Living_AreaGBA,Line_
101345,    113,      9,      1,      2,134-1B MAIN ST #1B,3401,1,1,Forced Air-Duc,892,1
101346,    113,      9,      1,      3,134-1C MAIN ST #1C,3401,1,1,Forced Air-Duc,1084,1
101347,    113,      9,      2,      1,134-2A MAIN ST #2A,1020,1,1,Forced Air-Duc,1362,1
101348,    113,      9,      2,      2,134-2B MAIN ST #2B,1020,1,1,Forced Air-Duc,797,1
101349,    113,      9,      2,      3,134-2C MAIN ST #2C,1020,1,1,Forced Air-Duc,1202,1
101350,    113,      9,      1,      0,134LL MAIN ST #LL,3401,1,1,Forced Air-Duc,3285,1
101380,    113,      9,     25,      3,25C BLACKSMITH ROW #C,1020,1,2,Forced Air-Duc,2650,1
101381,    113,      9,     25,      2,25B BLACKSMITH ROW #B,1020,1,2,Forced Air-Duc,1738,1
101382,    113,      9,     25,      1,25A BLACKSMITH ROW #A,1020,1,2,Forced Air-Duc,2191,1
101383,    113,      9,     27,      1,27A BLACKSMITH ROW #A,1020,1,2,Forced Air-Duc,3590,1
101384,    113,      9,     24,      1,24A BLACKSMITH ROW #A,1020,1,2,Forced Air-Duc,3140,1
101385,    113,      9,     22,      1,22A BLACKSMITH ROW #A,1020,1,2,Forced Air-Duc,2772,1
101386,    113,      9,     22,      3,22C BLACKSMITH ROW #C,1020,1,2,Forced Air-Duc,2689,1
