Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Heat_Type_Desc,Line_
333,    129,    204,      0,       ,69 BOATHOUSE RD,1013,1,2,1725,Forced Air-Duc,1
334,    129,    205,      0,       ,77 BOATHOUSE RD,1013,1,2,2006,Forced Air-Duc,1
336,    129,    208,      0,       ,85 BOATHOUSE RD,1013,1,2,870,Forced Air-Duc,1
337,    129,    209,      0,       ,89 BOATHOUSE RD,1013,1,1,792,Forced Air-Duc,1
338,    129,    210,      0,       ,91 BOATHOUSE RD,1013,1,1,468,None,1
339,    130,     90,      0,       ,90 BOATHOUSE RD,1013,1,1,667,Forced Air-Duc,1
340,    130,     91,      0,       ,99 BOATHOUSE RD,1010,1,1.75,1823,Forced Air-Duc,1
341,    130,     92,      0,       ,101 BOATHOUSE RD,1013,1,1,560,Forced Air-Duc,1
346,    124,     44,      0,       ,58 INDIAN RD,1010,1,1.75,797,Forced Air-Duc,1
348,    124,     42,      0,       ,55 INDIAN RD,1010,1,1,948,Electr Basebrd,1
349,    124,     25,      1,       ,50 TAVERN RD,1010,1,2,1894,Forced Air-Duc,1
353,    129,    251,      0,       ,50 ARROW TRL,1010,1,1,1176,Forced Air-Duc,1
356,    129,    252,      0,       ,46 ARROW TRL,1010,1,1,448,None,1
357,    124,     24,      0,       ,119 TAVERN RD,0101,1,1.5,1850,Radiant,1
360,    129,    183,      0,       ,1 BOATHOUSE RD,1010,1,1,1246,Forced Air-Duc,1
363,    129,     40,      0,       ,4 VALLEY RD,1010,1,1,492,None,1
364,    129,     39,      0,       ,8 VALLEY RD,1010,1,2,804,Hot Water,1
365,    129,     38,      0,       ,14 VALLEY RD,1010,1,1,364,None,1
366,    129,     44,      0,       ,315 LOST LAKE DR,1013,1,1,1182,Forced Air-Duc,1
370,    129,     14,      0,       ,277 LOST LAKE DR,1010,1,1,1738,Forced Air-Duc,1
375,    129,    159,      0,       ,7 BABY BEACH RD,1013,1,2,1454,Forced Air-Duc,1
376,    129,    158,      0,       ,5 BABY BEACH RD,1013,1,1,336,None,1
377,    129,    157,      0,       ,302 LOST LAKE DR,1013,1,1,592,Hot Water,1
378,    129,    156,      0,       ,330 LOST LAKE DR,1013,1,2,2364,Forced Air-Duc,1
379,    129,    155,      0,       ,338 LOST LAKE DR,1013,1,1,948,Hot Water,1
381,    129,    153,      0,       ,6 MOUNTAIN LAKES TRL ,1013,1,1,640,Forced Air-Duc,1
383,    129,    151,      0,       ,8 MOUNTAIN LAKES TRL ,1013,1,1,784,Forced Air-Duc,1
384,    129,    150,      0,       ,10 MOUNTAIN LAKES TRL ,1013,1,2,1140,Forced Air-Duc,1
385,    129,    149,      0,       ,16 MOUNTAIN LAKES TRL ,1013,1,1.5,1856,Radiant,1
387,    129,     90,      0,       ,8 LONE LN ,1010,1,1.75,3134,Forced Air-Duc,1
389,    129,     92,      0,       ,4 LONE LN,1010,1,1,546,Floor Furnace,1
390,    129,     93,      0,       ,333 LOST LAKE DR,1010,1,2,1636,Hot Water,1
401,    129,     26,      0,       ,53 VALLEY RD,1010,1,1,1316,Hot Water,1
404,    129,     17,      0,       ,5 RIDGE RD,1010,1,1,652,Forced Air-Duc,1
407,    129,     32,      0,       ,9 VALLEY RD,1010,1,1,868,Hot Water,1
408,    129,     33,      0,       ,13 VALLEY RD,1010,1,2,1536,Hot Water,1
409,    129,     34,      0,       ,21 VALLEY RD,1010,1,1.75,1469,Hot Water,1
410,    129,     35,      0,       ,9 GEORGIA RD ,1010,1,2,1008,None,1
411,    129,     29,      0,       ,36 GEORGIA RD ,1010,1,1,1198,Forced Air-Duc,1
412,    128,      8,      0,       ,49 VALLEY RD,1010,1,1,1400,None,1
415,    128,     12,      0,       ,50 VALLEY RD,1013,1,2,2551,Forced Air-Duc,1
417,    129,     53,      0,       ,23 WHITNEY POND RD,1013,1,1.75,1562,Hot Water,1
421,    129,    126,      0,       ,8 PINE TRL,1010,1,2,1887,Forced Air-Duc,1
425,    129,     84,      0,       ,28 LONE LN #A-B,1040,1,2,2172,Forced Air-Duc,1
434,    129,     50,      0,       ,17 WHITNEY POND RD,1010,1,1,552,Forced Air-Duc,1
435,    129,     54,      0,       ,25 WHITNEY POND RD,1013,1,1,780,Hot Water,1
437,    129,     56,      0,       ,27 WHITNEY POND RD,1013,1,3,1427,Forced Air-Duc,1
438,    129,     58,      0,       ,35 WHITNEY POND RD,1013,1,1,768,Electr Basebrd,1
439,    250,     97,      0,       ,41 WHITNEY POND RD,1013,1,1,900,None,1
442,    129,     61,      0,       ,22 WHITNEY POND RD,1010,1,1,464,None,1
444,    129,     64,      0,       ,14 WHITNEY POND RD,1010,1,1,908,None,1
454,    250,    101,      0,       ,8 LONG COPE RD #A-B,1040,1,2,2260,Hot Water,1
455,    129,     75,      0,       ,2 LONG COPE RD #A-B,1040,1,2,2616,Forced Air-Duc,1
456,    129,     70,      0,       ,19 LONE LN,1010,1,2,1368,Forced Air-Duc,1
458,    129,    179,      0,       ,25 ROSS RD,1013,1,2,1332,Forced Air-Duc,1
459,    129,    169,      0,       ,30 BABY BEACH RD,1013,1,2,801,Electr Basebrd,1
460,    129,    168,      0,       ,34 BABY BEACH RD ,1013,1,1,480,None,1
462,    129,    166,      0,       ,29 BABY BEACH RD,1013,1,2,680,Hot Water,1
464,    129,    163,      0,       ,19 BABY BEACH RD ,1013,1,2,1428,Hot Water,1
467,    129,    147,      0,       ,22 MOUNTAIN LAKES TRL ,1013,1,1.75,1714,Forced Air-Duc,1
468,    129,    146,      0,       ,28 MOUNTAIN LAKES TRL ,1013,1,1,748,Floor Furnace,1
469,    129,    145,      0,       ,36 MOUNTAIN LAKES TRL ,1013,1,1,1111,Forced Air-Duc,1
470,    129,    142,      0,       ,38 MOUNTAIN LAKES TRL ,1013,1,1,720,Forced Air-Duc,1
471,    129,    141,      0,       ,40 MOUNTAIN LAKES TRL ,1013,1,2,1168,Forced Air-Duc,1
472,    129,    140,      0,       ,46 MOUNTAIN LAKES TRL ,1013,1,2,1728,Forced Air-Duc,1
473,    129,    139,      0,       ,48 MOUNTAIN LAKES TRL ,1013,1,1.5,1290,Hot Air-no Duc,1
477,    130,     79,      0,       ,14 PAUL REVERE RD,1013,1,1,411,None,1
478,    130,     83,      0,       ,10 PAUL REVERE RD,1013,1,1,544,Floor Furnace,1
481,    129,    136,      0,       ,52 MOUNTAIN LAKES TRL ,1013,1,1,1470,Electr Basebrd,1
484,    130,     74,      0,       ,WENUCHAS TRL,1013,1,1,280,None,1
485,    130,     73,      0,       ,WENUCHAS TRL,1013,1,1,464,None,1
487,    130,     71,      0,       ,65 RAWDING RD,1090,1,2,1422,Forced Air-Duc,1
487,    130,     71,      0,       ,65 RAWDING RD,1090,2,1,840,Forced Air-Duc,1
487,    130,     71,      0,       ,65 RAWDING RD,1090,3,1,440,Electr Basebrd,1
488,    130,     69,      0,       ,55 WENUCHAS TRL,1013,1,1.75,4046,Forced Air-Duc,1
490,    130,     67,      0,       ,2 ALDER RD,1013,1,1,854,Forced Air-Duc,1
491,    130,     66,      0,       ,4 ALDER RD ,1013,1,2,1544,Forced Air-Duc,1
492,    130,     65,      0,       ,6 ALDER RD,1013,1,1,804,Floor Furnace,1
493,    130,     64,      0,       ,14 JUNIPER PT,1013,1,1.75,1197,Hot Water,1
493,    130,     64,      0,       ,14 JUNIPER PT,1013,2,1,312,Forced Air-Duc,1
494,    130,     63,      0,       ,18 JUNIPER PT,1013,1,1,858,Forced Air-Duc,1
495,    130,     62,      0,       ,11 JUNIPER PT,1013,1,2,2996,Hot Water,1
501,    129,    132,      0,       ,41 MOUNTAIN LAKES TRL ,1040,1,1,936,Forced Air-Duc,1
502,    129,    131,      0,       ,39 MOUNTAIN LAKES TRL ,1010,1,2,1164,Hot Water,1
503,    129,    130,      0,       ,29 MOUNTAIN LAKES TRL ,1010,1,1.75,2580,Forced Air-Duc,1
504,    129,    129,      0,       ,21 MOUNTAIN LAKES TRL ,1040,1,2,4804,Forced Air-Duc,1
505,    129,    128,      0,       ,17 MOUNTAIN LAKES TRL ,1010,1,1,524,Hot Water,1
507,    129,    124,      0,       ,18 PINE TRL,1010,1,1,920,Hot Water,1
