"USECODE","FUELTYPE","AREASQ"
"112","Electric",7268
"112","Electric",18135
"112","Electric",18135
"112","Gas",12528
"112","Gas",12528
"112","Gas",12528
"112","Gas",12528
"112","Gas",18135
"071","Oil",1800
"010","Oil",3224
"322","Oil",2736
"341","Oil",2286
"341","Oil",2286
"341","Oil",2286
"341","Oil",2286
"960","Typical",18903
"010","Oil",935
"322","Oil",2819
"316","Gas",6762
"400","Gas",71241
"400","Gas",71241
"400","Gas",71241
"400","Gas",71241
"034","Oil",2808
"934","Typical",16175
"934","Typical",16175
"934","Typical",16175
"934","Typical",88697
"934","Typical",99513
"400","Oil",1056
"101","NONE",2500
"931","Oil",1362
"322","Oil",3360
"960","Oil",9532
"322","Oil",11178
"322","Oil",3400
"322","Oil",2750
"322","Oil",12198
"400","Oil",9257
"931","Oil",979
"935","Gas",5056
"034","Gas",3416
"304","Gas",19257
"031","Oil",2304
"031","Oil",10651
"112","Typical",15810
"112","Typical",18972
"112","Typical",18972
"316","Typical",1500
"934","Gas",4204
"112","Gas",55950
"010","Gas",528
"931","Gas",1472
"032","Gas",1458
"400","Oil",18171
"321","Oil",2190
"034","Gas",3720
"034","Gas",3720
"034","Gas",3720
"034","Gas",3720
"033","NONE",4800
"033","Oil",4320
"031","Oil",2840
"010","Oil",6039
"954","Typical",2039
"400","Gas",281574
"010","Gas",3640
"934","Typical",3874
"934","Typical",12364
"931","Gas",1104
"342","Gas",18212
"342","Gas",18212
"342","Gas",18212
"342","Gas",18212
"322","Gas",2224
"931","Oil",1420
"931","Typical",9891
"322","Oil",1256
"112","Gas",49983
"316","Oil",2560
"340","Oil",1950
"971","Gas",123086
"402","Gas",4428
"322","Gas",945
"322","Coal or Wood",25640
"410","Electric",624
"410","Oil",1015
"316","NONE",7757
"400","Oil",45290
"400","Oil",45290
"400","Oil",45290
"400","Oil",45290
"311","Oil",1344
"400","Gas",7759
"400","Oil",2572
"316","Oil",16375
"112","Electric",22048
"322","Coal or Wood",957
"322","NONE",2400
"322","Oil",9804
"342","Gas",2750
"322","Oil",4800
"354","Oil",10400
"354","Oil",3840
"354","Oil",960
"032","Oil",7869
"322","Oil",5000
"112","Electric",4410
"326","Oil",2340
"334","Gas",3960
"354","Gas",18600
"313","Oil",1228
"313","Typical",5362
"400","Gas",76838
"341","Oil",2187
"322","Oil",3718
"400","Oil",43010
"316","Gas",143568
"903","Gas",19228
"326","Gas",3075
"140","Oil",6658
"400","Oil",4026
"323","Gas",5445
"323","Gas",177397
"323","Gas",10125
"805","Gas",20150
"805","Oil",0
"316","Gas",79522
"330","Coal or Wood",2400
"330","Oil",3000
"326","Gas",2508
"959","Oil",1300
"112","Electric",56948
"322","Oil",3672
"032","Oil",3456
"400","Gas",80942
"340","Gas",2212
"322","Gas",2168
"342","Oil",4500
"340","Gas",3286
"322","Oil",6126
"101","NONE",7080
"322","Gas",26473
"326","Gas",4605
"960","Typical",13800
"034","Gas",480
"322","Gas",7100
"340","Oil",1672
"957","Gas",2472
"324","Gas",59654
"112","Oil",10515
"901",NA,10393
"401","Gas",900
"401","Gas",657600
"010","Oil",2040
"400","Gas",11077
