"","USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"602","105","OIL",3407.5,"2A"
"603","104","OIL",2366,"2A"
"604","105","GAS",3978.4,"2A"
"605","104","OIL",2576,"2A"
"606","104","GAS",2943,"2A"
"607","101","OIL",1521.6,"2"
"608","101","OIL",1477,"2"
"609","101","OIL",1188,"1T"
"610","101","OIL",1436,"2"
"611","101","GAS",1318,"2"
"612","101","OIL",1326,"2"
"613","101","SOLAR",1534,"2"
"614","101","OIL",1488,"2"
"615","101","OIL",1478,"2"
"616","104","GAS",2271.6,"2A"
"617","104","GAS",2392,"2A"
"618","332","OIL",16035,"1"
"619","104","GAS",2744,"2A"
"620","104","GAS",2902.3,"2A"
"621","104","OIL",2478,"2A"
"622","104","OIL",2241,"2A"
"623","104","OIL",2848,"2A"
"624","101","GAS",1248.4,"1H"
"625","101","OIL",2040,"2A"
"626","104","GAS",2508,"2A"
"627","101","GAS",1690,"2A"
"628","101","OIL",2215,"2A"
"629","101","GAS",1215.75,"1T"
"630","105","OIL",3113.3,"2A"
"631","101","GAS",1848,"2"
"632","104","OIL",2401.5,"2A"
"633","130",NA,0,NA
"634","104","OIL",2340,"2A"
"635","101","GAS",960,"1A"
"636","104","OIL",2628,"2A"
"637","101","GAS",1364,"2"
"638","337",NA,0,NA
"639","104","OIL",2488,"2A"
"640","104","GAS",3131,"2A"
"641","104","OIL",1436.4,"2"
"642","325","GAS",9955,"1"
"643","325","GAS",16605,"1"
"644","340","OIL",2290,"2A"
"645","031","GAS",3452.5,"2A"
"646","316","GAS",11179,"1"
"647","101","GAS",1680,"2A"
"648","101","OIL",1416,"2A"
"649","337",NA,0,NA
"650","330","OIL",2052,"1"
"651","013","GAS",2160,"2"
"652","325",NA,1196,NA
"653","332","GAS",4540,"1"
"654","326","GAS",2220,"1"
"655","337",NA,0,NA
"656","101","OIL",1249,"1T"
"657","101","GAS",1710.95,"1A"
"658","101","GAS",1584,"1A"
"659","105","OIL",2529,"2A"
"660","101","OIL",1216,"2A"
"661","101","GAS",1248,"2A"
"662","101","GAS",1318,"2A"
"663","101","GAS",1746,"2A"
"664","325","GAS",1560,"1"
"665","105","OIL",2580.6,"2A"
"666","101","OIL",1409.9,"2A"
"667","105","OIL",3372.9,"2A"
"668","104","OIL",2744,"2A"
"669","101","GAS",1801.4,"1H"
"670","316","GAS",59112,"3"
"671","325","GAS",8988,"3"
"672","392",NA,0,NA
"673","105","GAS",2286,"2A"
"674","105","GAS",2294.6,"2A"
"675","101","GAS",1484,"2A"
"676","326","GAS",4180,"1"
"677","101","OIL",1462,"2A"
"678","101","OIL",1665,"2A"
"679","101","GAS",2448.43,"2A"
"680","337",NA,0,NA
"681","316","OIL",6320,"1"
"682","101","GAS",2684.5,"1"
"683","101","GAS",2799.05,"2A"
"684","101","GAS",1356,"2A"
"685","111","OIL",5040,"3"
"686","101","OIL",1356,"2A"
"687","101","OIL",1326,"2"
"688","101","GAS",2073.6,"1H"
"689","104","GAS",1714,"2A"
"690","104","GAS",1880,"2A"
"691","104","OIL",1854,"2A"
"692","105","GAS",2872,"2A"
"693","104","GAS",2544,"2A"
"694","104","OIL",2392,"2A"
"695","111","GAS",4025,"2A"
"696","111","OIL",3354.5,"2A"
"697","104","GAS",2594,"2A"
"698","101","OIL",1885,"2A"
"699","104","OIL",2820,"2A"
"700","104","GAS",2980,"2"
"701","341","ELECTRIC",1950,"1"
"702","391",NA,0,NA
"703","334","OIL",2440,"1"
"704","013","GAS",4030,"2"
"705","104","OIL",2968,"2A"
"706","104","GAS",2718,"2A"
"707","960","ELECTRIC",576,"1"
"708","104","GAS",3150,"2A"
"709","104","GAS",2963.1,"2A"
"710","101","GAS",1421,"1T"
"711","104","OIL",2397.6,"2"
"712","104","OIL",2392,"2A"
"713","101","GAS",1392,"2A"
"714","101","GAS",1512,"2A"
"715","101","GAS",1482,"2A"
"716","101","GAS",1728,"2"
"717","101","GAS",1725,"1T"
"718","132",NA,0,NA
"719","101","GAS",944,"1T"
"720","101","OIL",1454,"2A"
"721","101","OIL",1410,"2A"
"722","101","OIL",1412.2,"1H"
"723","101","GAS",1350,"2"
"724","104","GAS",1996.15,"2A"
"725","104","GAS",3128.4,"2A"
"726","132",NA,0,NA
"727","104","GAS",2370.5,"2A"
"728","112","GAS",8972,"4"
"729","013","GAS",3544.5,"2T"
"730","101","PROPANE",1250,"2A"
"731","101","OIL",1250,"2A"
"732","101","OIL",1514.24,"2A"
"733","101","OIL",1346,"2A"
"734","101","OIL",1810,"2A"
"735","101","GAS",1500,"2"
"736","101","OIL",1500,"2"
"737","101","OIL",1258.8,"1H"
"738","101","GAS",1250,"2"
"739","101","GAS",1250,"2"
"740","104","GAS",4062.4,"2A"
"741","101","GAS",1875,"2A"
"742","101","GAS",1625,"2A"
"743","101","OIL",1420,"2A"
"744","101","GAS",1565.9,"1A"
"745","101","GAS",1250,"2A"
"746","101","GAS",1456,"2"
"747","104","GAS",2474,"2A"
"748","105","OIL",3289,"2A"
"749","104","GAS",3156,"2A"
"750","105","OIL",3477.6,"2A"
"751","104","OIL",3195,"2A"
"752","104","GAS",2636,"2A"
"753","104","OIL",3056,"2A"
"754","101","OIL",1413,"2A"
"755","104","OIL",2268,"2A"
"756","104","GAS",2694,"2A"
"757","101","GAS",3024,"1"
"758","101","OIL",1854,"2A"
"759","105","GAS",2955,"3"
"760","104","OIL",2850,"2A"
"761","104","GAS",3630,"2A"
"762","105","OIL",3388,"2A"
"763","111","OIL",5748,"2A"
"764","112","GAS",17583,"3"
"765","101","GAS",1570.4,"2"
"766","101","WOOD",4212,"2A"
"767","101","OIL",2625,"2A"
"768","132",NA,0,NA
"769","132",NA,0,NA
"770","132",NA,0,NA
"771","101","OIL",3270,"1T"
"772","130",NA,0,NA
"773","101","OIL",2643.2,"1"
"774","101","GAS",1440,"1"
"775","101","GAS",1196,"1"
"776","101","GAS",1816,"2A"
"777","101","GAS",1890,"1"
"778","101","GAS",1000,"1"
"779","101","GAS",2000,"2A"
"780","101","OIL",2337.5,"2A"
"781","101","OIL",1843.2,"1H"
"782","101","GAS",1274,"1T"
"783","101","OIL",1400,"1T"
"784","101","OIL",1000,"1H"
"785","104","OIL",2710,"2A"
"786","104","GAS",2788,"2A"
"787","957","GAS",4000,"1"
"788","101","OIL",1255,"1T"
"789","104","GAS",2240,"2A"
"790","101","GAS",2058,"2A"
"791","111","OIL",3504,"2A"
"792","930",NA,0,NA
"793","931",NA,0,NA
"794","101","GAS",1812,"2A"
"795","104","OIL",2438,"2A"
"796","101","OIL",1768,"2A"
"797","101","OIL",1584,"2A"
"798","101","OIL",3871.3,"2A"
"799","101","GAS",1680,"2A"
"800","101","GAS",1536,"2A"
"801","101","GAS",1600,"2A"
"802","105","GAS",2681.8,"2A"
"803","101","OIL",1620,"2A"
"804","104","GAS",1796.78,"2A"
"805","101","OIL",1738.8,"2A"
"806","101","GAS",2227.5,"2A"
"807","101","GAS",1548,"2A"
"808","101","GAS",1768,"2A"
"809","111","GAS",3888,"2"
"810","101","OIL",1856,"2A"
"811","130",NA,0,NA
"812","101","OIL",992,"1"
"813","101","GAS",840,"1"
"814","101","GAS",1274,"1"
"815","101","OIL",1032,"1"
"816","101","GAS",1440,"2"
"817","101","OIL",2857.5,"1"
"818","101","GAS",1354,"1"
"819","101","GAS",1792,"1"
"820","104","OIL",2880,"2A"
"821","101","GAS",1718.4,"1H"
"822","101","GAS",1768,"2A"
"823","101","GAS",1836,"2A"
"824","104","OIL",2600,"2A"
"825","104","OIL",2592,"2A"
"826","132",NA,0,NA
"827","104","OIL",2484,"2A"
"828","104","OIL",2700,"2A"
"829","132",NA,0,NA
"830","101","OIL",3320,"2A"
"831","105","OIL",2871.7,"2A"
