"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Oil",1050,1
"101","Gas",1050,1
"101","Gas",1050,1
"101","Gas",1050,1
"101","Gas",1050,1
"101","Gas",1050,1
"101","Electric",1050,1
"101","Electric",1050,1
"101","Electric",1050,1
"101","Oil",1053,1
"101","Gas",1053,1
"101","Oil",1054,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Oil",1056,1
"101","Gas",1056,1
"101","Gas",1056,1
"101","Gas",1056,1
"101","Gas",1056,1
"101","Electric",1056,1
"101","Electric",1056,1
"101","Electric",1056,1
"101","Electric",1056,1
"101","Electric",1056,1
"101","Oil",1060,1
"101","Oil",1060,1
"101","Oil",1061,1
"101","Oil",1062,1
"101","Oil",1062,1
"101","Oil",1063,1
"101","Oil",1064,1
"101","Oil",1064,1
"101","Oil",1065,1
"101","Oil",1066,1
"101","Oil",1067,1
"101","Gas",1067,1
"101","Oil",1068,1
"101","Oil",1068,1
"101","Oil",1068,1
"101","Oil",1068,1
"101","Oil",1068,1
"101","Oil",1069,1
"101","Oil",1070,1
"101","Oil",1070,1
"101","Oil",1072,1
"101","Oil",1072,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Oil",1074,1
"101","Gas",1074,1
"101","Electric",1074,1
"101","Oil",1075,1
"101","Oil",1075,1
"101","Gas",1075,1
"101","Oil",1076,1
"101","Oil",1076,1
"101","Oil",1076,1
"101","Oil",1078,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Oil",1080,1
"101","Gas",1080,1
"101","Oil",1082,1
"101","Oil",1086,1
"101","Oil",1086,1
"101","Oil",1088,1
"101","Oil",1089,1
"101","Oil",1089,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Oil",1092,1
"101","Gas",1092,1
"101","Oil",1094,1
"101","Oil",1094,1
"101","Oil",1094,1
"101","Oil",1094,1
"101","Oil",1097,1
"101","Oil",1097,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1100,1
"101","Oil",1102,1
"101","Oil",1104,1
"101","Oil",1104,1
"101","Oil",1104,1
"101","Oil",1104,1
"101","Oil",1104,1
"101","Oil",1104,1
"101","Oil",1104,1
"101","Oil",1104,1
"101","Gas",1104,1
"101","Oil",1105,1
"101","Oil",1106,1
"101","Oil",1106,1
"101","Oil",1110,1
"101","Oil",1110,1
"101","Oil",1110,1
"101","Oil",1112,1
"101","Gas",1112,1
"101","Oil",1114,1
"101","Oil",1116,1
"101","Oil",1116,1
"101","Oil",1116,1
"101","Oil",1116,1
"101","Oil",1118,1
"101","Oil",1119,1
"101","Oil",1119,1
"101","Oil",1120,1
"101","Oil",1120,1
"101","Oil",1120,1
"101","Oil",1120,1
"101","Oil",1120,1
"101","Electric",1120,1
"101","Oil",1122,1
"101","Oil",1123,1
"101","Oil",1123,1
"101","Oil",1123,1
"101","Oil",1124,1
"101","Oil",1124,1
"101","Oil",1124,1
"101","Gas",1124,1
"101","Oil",1125,1
"101","Oil",1125,1
"101","Oil",1125,1
"101","Oil",1125,1
"101","Electric",1125,1
"101","Oil",1126,1
"101","Oil",1126,1
"101","Oil",1126,1
"101","Oil",1126,1
"101","Oil",1127,1
"101","Oil",1128,1
"101","Oil",1130,1
"101","Oil",1131,1
"101","Electric",1131,1
"101","Oil",1132,1
"101","Oil",1134,1
"101","Oil",1134,1
"101","Oil",1136,1
"101","Oil",1136,1
"101","Oil",1136,1
"101","Oil",1137,1
"101","Oil",1139,1
"101","Oil",1140,1
"101","Oil",1140,1
"101","Oil",1140,1
"101","Oil",1140,1
"101","Oil",1140,1
"101","Propane",1140,1
"101","Oil",1143,1
"101","Oil",1143,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1144,1
"101","Oil",1145,1
"101","Oil",1146,1
"101","Gas",1146,1
"101","Oil",1147,1
"101","Oil",1147,1
"101","Oil",1148,1
"101","Oil",1148,1
"101","Oil",1149,1
"101","Oil",1149,1
"101","Oil",1149,1
"101","Oil",1149,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Oil",1150,1
"101","Gas",1150,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Oil",1152,1
"101","Electric",1152,1
"101","Oil",1153,1
"101","Electric",1154,1
"101","Oil",1156,1
"101","Oil",1156,1
"101","Oil",1156,1
"101","Oil",1156,1
"101","Electric",1156,1
"101","Oil",1158,1
"101","Oil",1158,1
"101","Oil",1159,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1160,1
"101","Oil",1161,1
"101","Oil",1161,1
"101","Oil",1161,1
"101","Oil",1161,1
"101","Oil",1162,1
"101","Oil",1162,1
"101","Oil",1162,1
"101","Oil",1163,1
"101","Oil",1163,1
"101","Oil",1164,1
"101","Oil",1164,1
"101","Oil",1165,1
"101","Oil",1165,1
"101","Oil",1165,1
"101","Oil",1166,1
"101","Oil",1166,1
"101","Oil",1167,1
"101","Oil",1168,1
"101","Oil",1168,1
"101","Oil",1170,1
"101","Oil",1170,1
"101","Oil",1170,1
"101","Oil",1170,1
"101","Oil",1170,1
"101","Oil",1172,1
"101","Oil",1172,1
"101","Oil",1173,1
"101","Oil",1174,1
"101","Oil",1174,1
"101","Oil",1174,1
"101","Oil",1174,1
"101","Oil",1174,1
"101","Oil",1175,1
"101","Oil",1176,1
"101","Oil",1176,1
"101","Oil",1176,1
"101","Oil",1176,1
"101","Oil",1176,1
"101","Oil",1177,1
"101","Oil",1177,1
"101","Oil",1178,1
"101","Oil",1179,1
"101","Oil",1179,1
"101","Oil",1180,1
"101","Oil",1180,1
"101","Oil",1182,1
"101","Oil",1184,1
"101","Oil",1184,1
"101","Oil",1184,1
"101","Oil",1184,1
"101","Oil",1184,1
"101","Oil",1188,1
"101","Oil",1188,1
"101","Oil",1188,1
"101","Oil",1188,1
"101","Gas",1188,1
"101","Oil",1189,1
"101","Oil",1190,1
"101","Oil",1190,1
"101","Oil",1192,1
"101","Oil",1193,1
"101","Oil",1194,1
"101","Oil",1194,1
"101","Oil",1195,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Oil",1196,1
"101","Electric",1196,1
"101","Electric",1196,1
"101","Electric",1196,1
"101","Electric",1196,1
"101","Oil",1198,1
"101","Oil",1198,1
"101","Oil",1199,1
"101","Oil",1199,1
"101","Oil",1200,1
"101","Oil",1200,1
"101","Oil",1200,1
"101","Oil",1200,1
"101","Oil",1200,1
"101","Gas",1200,1
"101","Gas",1200,1
"101","Oil",1201,1
"101","Oil",1203,1
"101","Oil",1204,1
"101","Oil",1204,1
"101","Oil",1205,1
"101","Oil",1206,1
"101","Oil",1206,1
"101","Oil",1208,1
"101","Oil",1208,1
"101","Oil",1208,1
"101","Oil",1208,1
"101","Oil",1209,1
"101","Oil",1210,1
"101","Oil",1210,1
"101","Oil",1212,1
"101","Oil",1212,1
"101","Oil",1213,1
"101","Oil",1214,1
"101","Gas",1214,1
"101","Oil",1215,1
"101","Oil",1215,1
"101","Electric",1217,1
"101","Oil",1218,1
"101","Oil",1218,1
"101","Oil",1218,1
"101","Oil",1218,1
"101","Electric",1218,1
"101","Oil",1221,1
"101","Oil",1222,1
"101","Oil",1222,1
"101","Oil",1222,1
"101","Gas",1222,1
"101","Oil",1224,1
"101","Oil",1224,1
"101","Oil",1224,1
"101","Oil",1225,1
"101","Oil",1225,1
"101","Oil",1225,1
"101","Oil",1226,1
"101","Oil",1226,1
"101","Oil",1226,1
"101","Oil",1226,1
"101","Oil",1226,1
"101","Oil",1227,1
"101","Oil",1228,1
"101","Oil",1229,1
"101","Oil",1230,1
"101","Oil",1230,1
"101","Gas",1230,1
"101","Oil",1232,1
"101","Oil",1232,1
"101","Oil",1232,1
"101","Propane",1232,1
"101","Oil",1235,1
"101","Oil",1236,1
"101","Oil",1236,1
"101","Oil",1236,1
"101","Oil",1236,1
"101","Oil",1238,1
"101","Oil",1239,1
"101","Oil",1239,1
"101","Oil",1239,1
"101","Oil",1239,1
"101","Gas",1239,1
"101","Oil",1240,1
"101","Oil",1240,1
"101","Oil",1240,1
"101","Oil",1240,1
"101","Oil",1240,1
"101","Oil",1240,1
"101","Oil",1241,1
"101","Oil",1242,1
"101","Oil",1242,1
"101","Oil",1242,1
"101","Oil",1243,1
"101","Oil",1244,1
"101","Oil",1244,1
"101","Gas",1244,1
"101","Oil",1246,1
"101","Oil",1246,1
"101","Oil",1247,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1248,1
"101","Oil",1249,1
"101","Oil",1252,1
"101","Oil",1252,1
"101","Oil",1252,1
"101","Oil",1253,1
"101","Oil",1254,1
"101","Oil",1254,1
"101","Oil",1254,1
"101","Oil",1254,1
"101","Oil",1256,1
"101","Oil",1256,1
"101","Oil",1256,1
"101","Oil",1256,1
"101","Oil",1257,1
