Town	Use code	Description	Stories	Stories_Desc	Style	Style Description	Living Area	Heat fuel	Fuel Description	Heat type	Type description
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2949	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2949	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2949	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2949	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2949	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	3076	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	3168	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	2		3	Colonial	3193	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	3397	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	3430	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	3539	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		1	Ranch	752	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		1	Ranch	1460	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		1	Ranch	1805	3	Gas	10	Hydro Air
Holden	1010	Single Fam  MDL-01	1		1	Ranch	2046	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		1	Ranch	2384	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		1	Ranch	2533	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		1	Ranch	2626	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		1	Ranch	2714	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1		4	Cape Cod	1213	2	Oil	5	Hot Water
