USECODE,STORYHEIGHT,FUELTYPE,AREASQ
101,1,OIL,1672
101,2,OIL,2166
101,1T,OIL,1922
101,1T,OIL,1618
101,1,OIL,3935.1
101,2,OIL,1979
101,2A,OIL,2433
132,,,0
101,1,GAS,2255
101,1,GAS,3429.1
101,1,OIL,3069
101,1,ELECTRIC,1688.2
101,1,ELECTRIC,2276.4
101,1,GAS,3109.6
101,1,OIL,1701
101,1,GAS,1728
101,1T,OIL,3158.75
101,2,GAS,4016
101,2,GAS,2232
101,1,OIL,2309.8
132,,,0
132,,,0
101,2,GAS,1506
101,2,OIL,1698
101,1,ELECTRIC,1209.6
111,3,OIL,3591
334,1,GAS,1232
101,2,OIL,1271
13,1,OIL,4861
101,1,GAS,894
13,2,ELECTRIC,2936
101,2,GAS,1418
102,3,GAS,1950
101,2T,OIL,4006
101,2,OIL,4907.5
101,2A,OIL,3739.4
101,2,OIL,4675.28
101,1T,OIL,2824
101,2A,OIL,3629
101,2,GAS,4245
101,2A,GAS,4404.6
101,2,GAS,6080.4
101,2H,GAS,3205.3
101,2,GAS,4358.48
101,2T,GAS,6448
101,2,GAS,6622
101,2,GAS,5141
132,,,0
101,1,OIL,2392.2
101,1,OIL,1500
101,1,OIL,1611
101,1,OIL,1411
101,1T,OIL,2231.8
101,1,OIL,892
101,1,OIL,1560
101,1,OIL,1360.8
101,1,OIL,1686
101,1,GAS,1566
101,1,OIL,2592
101,1,GAS,2368.8
101,1,GAS,1268
428,1,GAS,2440
428,,,0
101,1,GAS,1388.52
101,2,GAS,3726.4
101,2,GAS,3741
101,2,GAS,4286.5
101,2,OIL,2672.5
101,2,OIL,4507.2
391,,,0
322,1,GAS,122145
930,,,0
101,1,OIL,1860.8
101,1A,OIL,2804.88
101,1T,OIL,2988
101,1T,OIL,2484
101,2,ELECTRIC,1638
101,2,OIL,1700.4
101,1T,OIL,1635
101,1,OIL,1778.4
101,1,OIL,1459.2
101,1,OIL,763
101,1,OIL,2469.2
101,1,OIL,1304
101,1T,OIL,1608
101,1,OIL,1913.6
101,1T,OIL,2221.5
101,1T,OIL,1947
101,1T,GAS,2787.93
101,2,GAS,561.6
101,1T,GAS,2040
101,1,ELECTRIC,2220
104,2,OIL,2391.12
102,2A,OIL,1296
102,1,GAS,905
102,2A,OIL,1296
102,1,GAS,978
102,1,GAS,708
102,2H,OIL,1413
102,2H,OIL,1413
101,1,OIL,2088
101,1,OIL,1452
101,1,OIL,1388
101,1,OIL,1392
101,1,OIL,1882
101,1,OIL,1464
101,1,OIL,2003.2
101,1,OIL,2522.4
101,1,OIL,2128.4
101,1,OIL,1847.6
101,2A,OIL,3965
101,1,OIL,1152
101,1,OIL,2573
101,1,ELECTRIC,2093.5
101,1,OIL,1435.2
101,1,OIL,2246.4
101,1,OIL,1894.2
101,1,OIL,1204
101,1,OIL,3411.5
101,1,OIL,2580
101,1,OIL,2000
101,1,OIL,2026.5
101,2,OIL,2845
101,1,OIL,2056.8
101,1A,OIL,3078.4
101,1,OIL,2331.8
101,1,OIL,2585.8
101,2,OIL,3174
101,1,OIL,1264.4
101,1,GAS,1450
101,1,GAS,1910
101,1,OIL,1846
101,1,GAS,1248
101,1,GAS,2092.2
101,2,OIL,4009.1
101,2,OIL,3676
101,2,OIL,3264
101,2,OIL,4948
101,2,OIL,5022.8
101,2,OIL,3828.4
101,2,OIL,3192
101,2,OIL,3472
101,2,OIL,4186
101,2,OIL,4648
101,2,OIL,4145
