"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"031",NA,4368,2
"325",NA,3520,1
"013",NA,2475,2
"013",NA,468,1
"931",NA,4200,2
"013",NA,4567,3
"400",NA,71340,2
"400",NA,89180,7
"400",NA,4608,1
"316",NA,4400,2
"953",NA,18000,2
"953",NA,3970,1
"340",NA,8696,3
"340",NA,3264,1
"340",NA,6912,2
"340",NA,14572,2
"300",NA,98734,6
"325",NA,29920,1
"326",NA,2756,1
"300",NA,71964,6
"112",NA,111000,7
"300",NA,61050,6
"326",NA,7350,1
"326",NA,2969,1
"112",NA,249587,5
"400",NA,47600,1
"930",NA,624,1
"400",NA,37812,1
"039",NA,41633,3
"400",NA,48567,2
"400",NA,37011,2
"300",NA,46580,3
"039",NA,160942,2
"039",NA,126190,2
"039",NA,69588,2
"340",NA,35996,2
"340",NA,10348,2
"300",NA,142439,6
"970",NA,32340,2
"934",NA,227314,3
"340",NA,3280,1
"340",NA,6047,3
"112",NA,11716,2
"935",NA,24968,2
"400",NA,30265,2
"332",NA,4650,1
"325",NA,3768,1
"400",NA,84266,3
"112",NA,130941,8
"325",NA,3756,1
"325",NA,3044,1
"013",NA,11324,4
"013",NA,16808,3
"316",NA,11740,1
"325",NA,18090,3
"031",NA,10231,3
"326",NA,6688,1
"121",NA,5460,2
"330",NA,1920,1
"331",NA,6582,1
"331",NA,6793,1
"013",NA,13300,2
"401",NA,32998,1
"316",NA,4736,1
"350",NA,2064,1
"400",NA,6665,2
"340",NA,2400,2
"401",NA,5752,1
"340",NA,384,1
"400",NA,51320,2
"316",NA,15118,3
"326",NA,1696,1
"341",NA,8160,2
"112",NA,5808,1
"340",NA,1680,2
"316",NA,6544,1
"340",NA,8816,2
"013",NA,18059,3
"341",NA,18705,2
"340",NA,20814,2
"341",NA,7288,1
"340",NA,14962,2
"013",NA,24512,3
"013",NA,9124,3
"013",NA,3080,3
"325",NA,8064,1
"325",NA,7649,3
"931",NA,42410,3
"013",NA,7990,3
"954",NA,16850,2
"031",NA,7728,3
"111",NA,12309,4
"013",NA,4160,3
"013",NA,12856,4
"112",NA,8571,3
"013",NA,6020,3
"325",NA,3496,1
"325",NA,2924,1
"325",NA,5805,2
"031",NA,5824,2
"325",NA,2718,1
"112",NA,2400,3
"112",NA,7752,3
"031",NA,11822,2
"031",NA,3680,2
"111",NA,8611,2
"316",NA,10860,1
"031",NA,5186,2
"013",NA,25552,3
"013",NA,6648,2
"013",NA,33534,3
"905",NA,7200,1
"013",NA,20160,3
"013",NA,19976,3
"112",NA,15144,3
"960",NA,3900,1
"111",NA,8084,3
"316",NA,4660,2
"013",NA,10111,3
"111",NA,7592,3
"325",NA,7473,2
"013",NA,12302,3
"326",NA,13413,2
"013",NA,11600,3
"316",NA,29964,2
"325",NA,4964,1
"316",NA,4186,2
"316",NA,320,1
"316",NA,644,1
"960",NA,10779,3
"957",NA,17464,1
"400",NA,4170,1
"013",NA,4272,2
"332",NA,2700,1
"400",NA,8802,1
"340",NA,3375,2
"031",NA,2368,2
"322",NA,13152,1
"325",NA,28800,2
"013",NA,16864,3
"013",NA,30733,3
"326",NA,2819,1
"325",NA,2418,1
"341",NA,3146,1
"370",NA,39102,2
"316",NA,22006,2
"332",NA,4439,1
"013",NA,7738,3
"325",NA,12454,4
"031",NA,8473,2
"340",NA,8710,2
"031",NA,6038,3
"325",NA,944,1
"960",NA,10440,2
"340",NA,4014,2
"931",NA,54483,3
"960",NA,19436,1
"960",NA,14171,3
"960",NA,61720,3
"960",NA,19812,3
"355",NA,7598,2
"112",NA,9242,4
"340",NA,9828,2
"340",NA,5872,2
"926",NA,45548,2
"326",NA,792,1
"326",NA,2036,1
"326",NA,3166,1
"112",NA,49300,7
"326",NA,522,1
"430",NA,17116,1
"316",NA,7990,1
"325",NA,7840,1
"321",NA,4346,1
"316",NA,5000,1
"326",NA,2718,1
"316",NA,2000,1
"935",NA,2551,1
"935",NA,17041,3
"340",NA,5385,2
"340",NA,13500,2
"332",NA,3844,1
"353",NA,9232,1
"325",NA,408,1
"400",NA,11220,1
"345",NA,9600,1
"345",NA,2400,1
"345",NA,9600,1
"345",NA,4210,1
"345",NA,1476,1
"325",NA,7151,2
"960",NA,33972,2
"031",NA,13350,3
"031",NA,5126,3
"013",NA,16167,3
"325",NA,5208,2
"013",NA,5312,3
"111",NA,6683,4
"013",NA,4741,3
"013",NA,1880,1
"324",NA,74971,1
"324",NA,120,1
"332",NA,8046,1
"971",NA,480,1
"400",NA,56588,3
"401",NA,22320,1
"401",NA,16000,1
"400",NA,7392,2
"400",NA,8000,2
"400",NA,2800,1
"400",NA,75555,3
"400",NA,11312,1
"400",NA,9450,2
"400",NA,5304,1
"013",NA,12014,1
"013",NA,12144,3
"013",NA,7014,3
"013",NA,4976,3
"325",NA,6218,1
"013",NA,27450,3
"013",NA,57909,3
"326",NA,3294,1
"323",NA,24650,1
"013",NA,5744,3
"322",NA,13968,1
"962",NA,13078,1
"326",NA,34289,2
"330",NA,5058,2
"326",NA,9655,1
"340",NA,40660,4
"300",NA,129600,4
"300",NA,8158,1
"340",NA,49620,5
"340",NA,48150,1
"326",NA,2401,1
"334",NA,1605,1
"340",NA,29768,2
"345",NA,2436,1
"345",NA,8940,1
"930",NA,672,1
"316",NA,122282,1
"112",NA,24054,3
"112",NA,34323,3
"112",NA,50725,3
"112",NA,32356,3
"112",NA,38433,3
"112",NA,19126,3
"112",NA,48273,3
"112",NA,50725,3
"112",NA,48273,3
"112",NA,37374,3
"112",NA,48273,3
"112",NA,38400,3
"112",NA,24054,3
"112",NA,15996,3
"112",NA,19126,3
"112",NA,37374,3
"112",NA,24054,3
"112",NA,15996,3
"112",NA,7118,2
"432",NA,2196,1
"400",NA,108820,2
"400",NA,163138,2
"401",NA,46280,1
"400",NA,75744,2
"400",NA,31375,1
"401",NA,138363,1
"013",NA,13364,1
"400",NA,31788,2
"402",NA,13400,1
"400",NA,46680,1
"400",NA,8360,1
"340",NA,39560,3
"400",NA,150805,2
"325",NA,26160,1
"325",NA,14040,1
"400",NA,20000,1
"400",NA,30700,1
"400",NA,1650,1
"400",NA,144740,1
"400",NA,33276,2
"400",NA,480,1
"400",NA,12000,1
"400",NA,40000,1
"340",NA,40698,5
"400",NA,51443,2
"955",NA,40182,2
"402",NA,51900,1
"330",NA,49064,1
"400",NA,224810,2
"400",NA,187168,2
"400",NA,103812,2
"402",NA,84770,1
"316",NA,183055,1
"340",NA,73248,2
"400",NA,60142,2
"340",NA,90682,2
"401",NA,12356,1
"316",NA,232783,2
"316",NA,10344,2
"338",NA,7850,1
"400",NA,6842,2
"400",NA,16992,2
"400",NA,14000,1
"400",NA,26400,2
"400",NA,31200,2
